"repo","repo_url","stars","path","raw_url","version_hint","matched_query"
"souhailaS/APIcture","https://github.com/souhailaS/APIcture","6","bin/oasdiff/data/x-of/anyof-base-openapi.yml","https://raw.githubusercontent.com/souhailaS/APIcture/main/bin/oasdiff/data/x-of/anyof-base-openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"surrealdb/openapi","https://github.com/surrealdb/openapi","6","openapi.yml","https://raw.githubusercontent.com/surrealdb/openapi/main/openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"temenos-labs/R19-apis","https://github.com/temenos-labs/R19-apis","6","holdings-getCustomerDeposits-service-v1.0.0-swagger.json","https://raw.githubusercontent.com/temenos-labs/R19-apis/master/holdings-getCustomerDeposits-service-v1.0.0-swagger.json","swagger-2.0","filename:swagger.json swagger"
"temenos-labs/R19-apis","https://github.com/temenos-labs/R19-apis","6","party-customersMiFID-service-v1.0.0-swagger.json","https://raw.githubusercontent.com/temenos-labs/R19-apis/master/party-customersMiFID-service-v1.0.0-swagger.json","swagger-2.0","filename:swagger.json swagger"
"temenos-labs/R19-apis","https://github.com/temenos-labs/R19-apis","6","party-reversesto-service-v1.0.0-swagger.json","https://raw.githubusercontent.com/temenos-labs/R19-apis/master/party-reversesto-service-v1.0.0-swagger.json","swagger-2.0","filename:swagger.json swagger"
"TheoMeunier/vue-filemanager","https://github.com/TheoMeunier/vue-filemanager","6","openapi.yml","https://raw.githubusercontent.com/TheoMeunier/vue-filemanager/master/openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"tritonJS826/masters-way","https://github.com/tritonJS826/masters-way","6","mw-chat/docs/swagger.json","https://raw.githubusercontent.com/tritonJS826/masters-way/main/mw-chat/docs/swagger.json","swagger-2.0","filename:swagger.json swagger"
"tritonJS826/masters-way","https://github.com/tritonJS826/masters-way","6","mw-notification-bff/apiAutogenerated/mw-notification-bff/api/openapi.yaml","https://raw.githubusercontent.com/tritonJS826/masters-way/main/mw-notification-bff/apiAutogenerated/mw-notification-bff/api/openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"24046416G/COMP5521","https://github.com/24046416G/COMP5521","5","naivecoin/lib/httpServer/swagger.json","https://raw.githubusercontent.com/24046416G/COMP5521/main/naivecoin/lib/httpServer/swagger.json","swagger-2.0","filename:swagger.json swagger"
"acoustic-content-samples/sample-ui-wch-storefront","https://github.com/acoustic-content-samples/sample-ui-wch-storefront","5","scripts/codeGen/swaggerSpec/commerce/personContact.swagger.json","https://raw.githubusercontent.com/acoustic-content-samples/sample-ui-wch-storefront/master/scripts/codeGen/swaggerSpec/commerce/personContact.swagger.json","swagger-2.0","filename:swagger.json swagger"
"AkatsukiKulykiv/SoftServeProject","https://github.com/AkatsukiKulykiv/SoftServeProject","5","api/routes/static/swagger.json","https://raw.githubusercontent.com/AkatsukiKulykiv/SoftServeProject/main/api/routes/static/swagger.json","swagger-2.0","filename:swagger.json swagger"
"Alchemyst-ai/docs","https://github.com/Alchemyst-ai/docs","5","developer-docs/api-reference/openapi.json","https://raw.githubusercontent.com/Alchemyst-ai/docs/main/developer-docs/api-reference/openapi.json","openapi-3","filename:openapi.json openapi"
"appscode/static-assets","https://github.com/appscode/static-assets","5","files/cluster-api/v1.2.7/runtime-sdk-openapi.yaml","https://raw.githubusercontent.com/appscode/static-assets/master/files/cluster-api/v1.2.7/runtime-sdk-openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
